Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
Resource Development Group Limited (ASX:RDG),ASX:RDG,Engineering/Construction,Australia,"Australia, NZ and Canada",Australia & NZ
Resource Generation Limited (ASX:RES),ASX:RES,Coal & Related Energy,Australia,"Australia, NZ and Canada",Australia & NZ
Resource Mining Corp. Ltd. (ASX:RMI),ASX:RMI,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Respiri Limited (ASX:RSH),ASX:RSH,Healthcare Products,Australia,"Australia, NZ and Canada",Australia & NZ
Response Biomedical Corp. (TSX:RBM),TSX:RBM,Healthcare Products,Canada,"Australia, NZ and Canada",Canada
Restaurant Brands International Inc. (NYSE:QSR),NYSE:QSR,Restaurant/Dining,Canada,"Australia, NZ and Canada",Canada
Restaurant Brands International Limited Partnership (TSX:QSP.UN),TSX:QSP.UN,Restaurant/Dining,Canada,"Australia, NZ and Canada",Canada
Restaurant Brands New Zealand Ltd. (NZSE:RBD),NZSE:RBD,Restaurant/Dining,New Zealand,"Australia, NZ and Canada",Australia & NZ
Resverlogix Corp. (TSX:RVX),TSX:RVX,Drugs (Biotechnology),Canada,"Australia, NZ and Canada",Canada
Retail Food Group Limited (ASX:RFG),ASX:RFG,Restaurant/Dining,Australia,"Australia, NZ and Canada",Australia & NZ
Reunion Gold Corporation (TSXV:RGD),TSXV:RGD,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
